Fur,Size,Shape,Ears,Tail,Vocal,Behavior,Legs,Eyes,Habitat,Class
0.09,0.11,-0.13,1.32,-1.91,-1.4,1.6,0.57,0.63,1.16,rabbit
-0.8,-1.07,0.93,-0.32,0.49,0.62,0.24,-0.51,1.49,-0.36,dog
0.57,-0.07,-0.97,1.05,0.73,-0.3,-0.59,0.44,-0.97,-1.87,cat
0.85,0.04,-1.54,-0.45,0.62,-0.18,-0.12,-0.18,-0.93,-0.53,dog
-1.55,1.15,0.5,0.39,-0.36,0.95,-1.14,1.8,1.62,1.08,rabbit
-0.94,-0.09,-1.07,0.3,-0.45,1.61,2.07,-1.2,-0.6,-0.79,rabbit
-0.36,0.55,1.77,-0.84,1.67,-0.76,-1.24,0.59,0.85,-0.04,cat
1.19,-2.32,-2.62,-1.81,0.18,0.15,0.5,0.08,1.54,1.58,rabbit
-0.55,-0.07,1.64,-1.4,1.02,0.21,0.82,2.02,-0.44,0.14,cat
1.08,1.72,-0.4,-1.48,0.64,-0.47,-0.97,1.22,-1.38,0.72,rabbit
-0.18,-1.51,1.01,-1.48,-0.14,1.03,-0.22,1.47,-0.87,0.37,cat
-1.26,-0.78,0.25,1.38,1.14,1.84,1.17,1.5,-0.7,-1.01,rabbit
0.67,-0.97,0.33,0.69,0.76,1.82,0.21,0.81,-2.15,-1.14,rabbit
0.1,-0.16,-1.34,1.53,-0.44,-0.92,0.12,0.05,0.61,-0.39,dog
-1.09,0.22,-1.43,-0.61,0.61,0.89,-1.52,1.19,0.22,2.16,rabbit
0.2,-0.73,-1.65,1.12,1.44,-1.68,1.81,0.07,1.5,0.38,rabbit
0.04,1.05,0.04,-1.31,0.54,-0.08,0.97,-1.86,0.28,-2.71,rabbit
-1.02,-0.64,0.36,1.39,0.27,-0.62,-1.2,0.84,0.07,-0.62,dog
1.76,-0.65,0.1,-0.23,1.23,2.1,-0.85,-0.58,0.02,0.99,rabbit
1.43,1.4,0.2,0.5,1.71,-0.06,1.47,0.38,0.69,0.13,cat
0.85,-0.42,-0.95,-0.85,1.62,-1.67,0.55,0.0,-0.24,-0.61,cat
0.8,-1.13,1.7,-1.99,0.4,-1.85,1.5,-0.19,0.76,0.44,rabbit
0.22,0.35,0.36,-0.97,-0.12,-1.0,-0.52,0.12,-0.15,0.11,dog
0.12,-0.47,-0.7,-0.67,0.03,0.93,1.19,0.7,-0.42,1.92,cat
-1.48,-1.07,-0.57,0.24,0.72,-0.98,-0.41,-0.03,-0.04,0.78,dog
-0.12,0.79,-0.27,-1.69,0.27,-0.69,-0.06,2.3,-1.08,-0.09,cat
-1.43,1.77,-0.48,0.48,-1.02,0.79,-1.87,0.92,-0.04,2.11,rabbit
-1.46,1.47,1.2,0.73,0.84,0.91,1.48,-1.49,-0.96,-1.66,rabbit
1.49,-0.15,-0.14,-0.47,1.21,0.52,-2.07,-2.31,0.05,0.1,rabbit
-0.21,0.62,0.35,-0.29,1.34,-0.01,-0.44,0.31,-2.09,0.2,dog
-0.81,-0.69,0.62,0.07,0.71,-0.62,0.01,-0.5,-0.99,-0.99,dog
-0.31,-0.14,0.27,-0.4,-0.76,1.05,0.79,0.6,0.55,0.15,dog
0.97,-0.33,1.02,0.97,-0.18,-0.2,-0.24,-0.75,-0.62,-0.0,dog
-0.68,0.69,-0.72,0.57,1.31,1.37,-0.1,-0.77,0.3,0.34,dog
1.64,-0.52,-2.87,-1.13,1.13,0.67,-0.07,0.3,-0.32,-0.17,rabbit
-0.7,0.03,-0.85,-0.98,-0.66,-0.82,-0.52,0.54,0.15,0.96,dog
1.1,-0.89,-0.55,-0.29,1.03,0.32,-0.53,1.28,-1.09,-0.33,dog
-0.65,-0.14,1.25,-0.95,1.34,0.77,0.7,-0.38,1.67,-0.57,cat
-1.65,0.17,0.42,0.03,0.44,-0.7,-0.14,-1.34,0.8,-0.28,dog
-1.14,2.71,0.27,-0.81,-1.34,1.52,0.09,2.08,-0.77,-0.24,rabbit
0.45,1.68,0.11,-1.08,0.14,0.08,0.42,-0.24,0.27,0.32,dog
-1.72,0.06,-0.8,-0.29,-0.26,0.19,-0.56,0.09,-0.6,0.56,dog
1.37,-0.6,-1.69,0.81,-1.12,0.99,1.29,-0.26,-0.07,-0.21,cat
-0.8,0.08,-0.32,-0.7,0.44,-0.75,-1.38,-0.56,-0.3,0.53,dog
-0.39,-0.66,-0.25,-1.66,1.77,-1.65,-1.11,0.57,2.8,0.43,rabbit
0.43,1.27,-0.54,0.34,-0.5,0.89,-0.83,-0.13,0.86,0.46,dog
0.11,-0.78,0.63,1.48,-0.39,1.47,-0.17,1.11,-0.05,0.57,dog
0.97,1.14,-0.77,-0.73,0.64,-2.4,-0.59,2.33,0.02,0.72,rabbit
-0.74,1.58,0.06,-0.05,-0.25,-0.39,0.19,-0.32,3.24,-1.05,rabbit
-0.27,1.83,-0.25,1.21,2.07,-1.99,0.09,-2.38,-1.82,-0.23,rabbit
0.45,1.55,-0.18,-2.26,-0.42,-1.23,-0.04,-0.48,0.21,-1.76,rabbit
-0.22,0.91,-0.16,0.7,-0.11,-0.19,1.26,-0.75,-0.28,-1.29,dog
1.46,1.85,-0.5,-0.52,-0.45,0.33,-0.51,-1.33,0.5,0.14,cat
-1.37,0.97,-0.91,-0.33,0.45,1.09,1.23,-0.32,0.5,-0.68,dog
0.36,0.09,-0.88,-1.38,0.55,-1.18,-0.3,0.76,-0.34,-0.85,dog
0.85,-1.15,-0.37,-0.25,-2.15,1.94,0.7,-0.38,-1.17,0.89,rabbit
0.63,0.01,-0.05,0.14,-0.43,-0.04,0.02,0.2,-1.67,-2.19,cat
-1.22,-0.87,-2.41,1.08,0.51,0.85,2.54,-0.1,-1.34,-0.49,rabbit
-0.15,-1.95,0.21,0.11,0.13,-1.36,0.24,1.68,0.7,0.81,cat
-0.8,-0.21,-0.54,-0.32,1.6,1.35,0.52,-0.42,1.23,0.65,cat
0.53,0.3,1.49,0.21,-0.59,-0.4,-2.4,-0.55,-1.54,0.48,rabbit
-1.29,0.11,-0.01,-0.39,0.49,-1.12,1.52,0.2,-2.79,2.01,rabbit
-0.59,-2.3,-0.03,0.11,0.29,1.5,-0.3,0.81,0.31,-0.19,cat
-0.16,-0.06,-0.02,0.83,0.76,-0.8,-2.45,-0.69,0.03,0.29,cat
-0.16,-0.49,0.09,-0.49,-0.45,1.99,0.01,1.71,-1.0,0.75,cat
-0.02,-0.38,-0.43,0.52,1.61,1.13,-1.18,0.21,0.28,-1.65,cat
-0.02,0.44,-1.53,-2.37,1.47,1.42,-0.37,0.38,-0.42,1.88,rabbit
0.31,1.25,-0.15,0.33,1.15,-0.97,0.42,-0.35,-1.35,-0.49,dog
0.82,-1.92,-2.04,1.94,-0.8,1.18,-1.85,0.86,-1.41,-0.99,rabbit
0.42,-0.67,0.12,-0.4,0.82,-1.47,0.07,0.21,-0.84,-2.26,cat
0.89,-1.16,-0.42,1.04,-0.63,-1.99,-0.79,-0.5,0.21,1.07,cat
-1.41,0.25,-0.91,0.11,1.24,-1.55,2.05,1.57,1.0,0.01,rabbit
1.17,-0.49,0.76,-0.12,-0.76,-0.17,1.34,0.6,0.15,1.04,dog
0.54,1.24,-0.11,1.11,1.52,-0.02,0.62,-0.22,-0.41,0.83,dog
0.6,-0.98,-1.14,0.94,-0.24,-0.33,0.92,0.45,1.16,-1.98,cat
-1.3,-0.31,0.41,0.97,-0.07,-0.52,1.96,0.44,-0.12,0.02,dog
-1.16,1.64,2.24,1.56,0.14,-2.02,0.92,-0.04,-0.42,0.52,rabbit
0.19,-0.14,0.62,1.66,-0.19,0.92,0.0,0.86,-1.1,1.47,cat
1.21,1.08,-2.01,0.59,0.12,-0.1,-0.09,-0.84,1.52,-1.79,rabbit
0.14,0.97,-0.09,-0.95,-0.23,-1.09,1.0,1.09,-1.3,-1.3,cat
-1.98,-0.85,-0.24,-0.36,-0.2,-1.88,-0.62,-0.12,-0.69,0.14,cat
-0.72,0.45,0.1,-0.41,-1.24,-0.14,-1.45,-0.73,-0.55,-0.01,dog
-0.53,-0.1,-0.86,0.21,-1.1,-0.76,-1.22,-0.06,0.02,0.69,dog
0.98,-0.15,0.09,0.04,1.54,-1.11,-0.05,-1.48,0.86,0.49,cat
0.38,0.07,0.33,-0.89,-0.91,0.12,0.71,-2.86,2.19,-0.61,rabbit
1.47,-0.3,0.97,-0.39,-0.62,-1.61,0.54,0.31,0.98,0.81,cat
-1.73,0.19,-0.02,-1.62,-1.73,-0.27,-1.5,0.3,-1.08,-0.44,rabbit
1.76,-0.33,0.91,-1.23,-1.55,0.08,-0.72,-1.89,-0.19,2.22,rabbit
-2.53,-1.61,-1.54,1.92,-0.78,1.46,0.91,0.85,-0.11,0.46,rabbit
0.37,0.59,-1.65,-1.03,0.84,0.45,-0.66,-1.32,0.36,-0.42,cat
-0.9,1.63,-1.85,-0.18,0.66,-1.6,0.46,1.32,0.3,0.0,rabbit
-0.95,-0.26,0.7,-0.11,0.41,-0.11,0.48,-0.14,-0.8,-1.1,dog
-0.05,1.88,-1.04,-0.41,-0.06,-0.25,0.96,0.12,1.0,-0.95,cat
-0.38,-0.32,-0.71,-0.74,-0.48,0.27,0.64,0.26,-1.46,1.17,dog
-0.33,-1.34,1.11,-0.59,-1.24,0.88,0.62,-0.43,1.41,0.13,cat
-0.69,0.25,-0.26,-1.1,-0.82,0.52,-0.05,-2.45,0.53,-0.32,cat
-0.91,0.01,-0.3,-0.06,1.85,0.58,1.34,-0.62,1.6,-0.02,cat
0.68,0.04,-1.67,-1.41,-0.93,0.6,-1.02,0.57,0.13,-0.29,cat
-1.84,2.27,-2.5,2.61,1.07,-0.11,-0.47,0.9,0.51,0.05,rabbit
0.95,-0.75,0.67,0.73,0.17,0.0,-1.21,-1.25,-1.96,0.38,cat
-0.34,-0.73,1.29,1.35,-0.93,-1.3,1.19,1.4,-0.72,-0.51,cat
-0.79,1.68,0.59,0.23,0.21,-0.89,-0.97,-0.07,0.58,-0.1,dog
-1.39,-0.28,1.2,-0.04,1.1,-0.55,0.74,0.94,0.65,-1.76,cat
0.34,-0.74,-1.3,-2.59,0.56,-1.04,-0.18,0.24,-0.2,1.15,rabbit
0.21,0.44,-1.13,-0.27,1.02,-0.52,-1.08,0.92,1.48,-2.18,rabbit
1.78,0.03,1.12,-0.37,0.78,-0.41,0.52,0.94,-1.22,-0.67,cat
-0.42,-0.58,1.3,-1.52,0.5,2.23,0.31,1.58,0.02,-1.26,rabbit
0.28,-0.46,-0.18,0.89,-0.67,-0.08,-0.58,0.92,-0.61,-1.58,dog
0.28,0.16,0.75,-1.36,1.01,0.9,-0.5,-0.29,-0.45,1.73,cat
-0.89,0.35,0.74,-0.0,0.4,-0.93,0.44,-1.33,1.1,-0.02,dog
0.75,0.34,-0.32,0.47,-1.75,-1.28,0.76,-0.43,1.28,-1.33,cat
-0.4,-0.78,-0.43,-0.88,-0.75,0.25,1.7,0.96,0.13,-0.22,dog
-0.08,0.52,-1.1,1.52,-0.05,0.65,-2.0,-1.55,0.19,0.67,cat
